"","qseqid","sseqid","stitle","evalue","bitscore","pident","qcovs","qcovhsp","query","superkingdom","phylum","class","order","family","genus","species"
"435","ASV559","gi|1189448007|gb|MF046701.1|","Uncultured bacterium clone A119 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"436","ASV560","gi|1209714137|gb|MF374218.1|","Uncultured bacterium clone OTU375 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"437","ASV561","gi|1215186345|dbj|LC289566.1|","Uncultured prokaryote gene for urease, partial sequence, 16S_OTU:1968",1.53e-88,340,86.322,100,100,"198431",NA,NA,NA,NA,NA,NA,"uncultured prokaryote"
"438","ASV563","gi|1050244363|gb|KU572011.1|","Uncultured bacterium clone denovo89124 16S ribosomal RNA gene, partial sequence",4.07e-123,455,99.206,99,99,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"439","ASV564","gi|1050244363|gb|KU572011.1|","Uncultured bacterium clone denovo89124 16S ribosomal RNA gene, partial sequence",1.88e-126,466,100,99,99,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"440","ASV565","gi|1806205128|dbj|LC521604.1|","Uncultured Nitrospira sp. OTU1 (A03) gene for 16S rRNA, partial sequence",5.23e-127,468,100,100,100,"157176","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured Nitrospira sp."
"441","ASV566","gi|1771868470|emb|LR642755.1|","uncultured bacterium partial 16S rRNA gene",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"442","ASV567","gi|332648655|gb|JF814065.1|","Uncultured Rhizobiales bacterium clone CL09A02c63 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"208549","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales",NA,NA,"uncultured Hyphomicrobiales bacterium"
"443","ASV568","gi|1146059138|ref|NR_145870.1|","Hymenobacter terrenus strain MIMtkLc17 16S ribosomal RNA, partial sequence",5.23e-127,468,100,100,100,"1629124","Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","Hymenobacter terrenus"
"444","ASV569","gi|1033909895|gb|KU354550.1|","Fungal sp. strain EL002650 12S ribosomal RNA gene, partial sequence; mitochondrial",1.3e-133,490,97.232,100,100,"1709941","Eukaryota",NA,NA,NA,NA,NA,"fungal sp."
"445","ASV57","gi|1798226648|gb|MN960194.1|","Gluconobacter sp. strain PFY-8 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1876758","Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Gluconobacter","Gluconobacter sp."
"446","ASV570","gi|1859640921|gb|MF281998.2|","Mycobacterium sp. strain J101 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1785","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium sp."
"447","ASV571","gi|1434133270|gb|MH669299.1|","Aliirhizobium cellulosilyticum strain H349 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"393664","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Aliirhizobium","Aliirhizobium cellulosilyticum"
"448","ASV572","gi|1388710044|gb|KY896188.1|","Uncultured bacterium clone 2007WL_16S_OTU_5914 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"449","ASV573","gi|1109169206|gb|KY251697.1|","Uncultured bacterium clone js0891 16S ribosomal RNA gene, partial sequence",3.16e-124,459,99.213,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"450","ASV574","gi|1002706440|gb|KU126118.1|","Uncultured bacterium clone 30889 16S ribosomal RNA gene, partial sequence",1.13e-123,457,99.209,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"451","ASV575","gi|1173237536|gb|KY877663.1|","Uncultured bacterium clone denovo27500 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"452","ASV576","gi|1496539245|gb|MH525255.1|","Uncultured bacterium clone OTU_1607 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"453","ASV577","gi|2591539236|gb|OR657186.1|","Uncultured Desulfovibrio sp. clone CH2 PE 130 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"167968","Bacteria","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","uncultured Desulfovibrio sp."
"454","ASV578","gi|1858376370|gb|MN577356.2|","Sphingomonas changnyeongensis strain C33 16S ribosomal RNA gene, partial sequence",5.26e-122,451,98.814,100,100,"2698679","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas changnyeongensis"
"455","ASV579","gi|2575652410|gb|OR534744.1|","Uncultured bacterium clone cebf03da11f6e1538142e20338212910 16S ribosomal RNA gene, partial sequence",5.41e-102,385,94.071,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"456","ASV58","gi|2508454184|gb|OR021750.1|","Zymobacter sp. strain 36_Tf_h_17 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"3048686","Bacteria","Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Zymobacter","Zymobacter sp."
"457","ASV580","gi|1917889972|gb|MW143802.1|","Uncultured Acidiphilium sp. clone OTU240 16S ribosomal RNA gene, partial sequence",2.45e-120,446,98.419,100,100,"240137","Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acidocellaceae","Acidiphilium","uncultured Acidiphilium sp."
"458","ASV581","gi|2363085830|ref|NR_181167.1|","Massilia horti strain ONC3 16S ribosomal RNA, partial sequence",5.23e-127,468,100,100,100,"2562153","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Massilia horti"
"459","ASV583","gi|1851864585|gb|MT588584.1|","Paracoccus sp. strain Voy50th10-6 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"267","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Paracoccus","Paracoccus sp. (in: a-proteobacteria)"
"460","ASV584","gi|2782691778|gb|PQ133116.1|","Vagococcus teuberi strain SHP-2 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"519472","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus","Vagococcus teuberi"
"461","ASV585","gi|1220343561|gb|MF557899.1|","Uncultured bacterium clone 2253 16S ribosomal RNA gene, partial sequence",2.45e-120,446,98.419,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"462","ASV586","gi|1434133270|gb|MH669299.1|","Aliirhizobium cellulosilyticum strain H349 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"393664","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Aliirhizobium","Aliirhizobium cellulosilyticum"
"463","ASV588","gi|1985644102|emb|HG987532.1|","uncultured Legionella sp. partial 16S rRNA gene",1.13e-123,457,99.209,100,100,"210934","Bacteria","Pseudomonadota","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella","uncultured Legionella sp."
"464","ASV589","gi|1853542135|gb|MT605461.1|","Novosphingobium lindaniclasticum strain T1G-2 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1329895","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Novosphingobium lindaniclasticum"
"465","ASV59","gi|1853540993|gb|MT605451.1|","Pseudomonas viridiflava strain XJ-4 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"33069","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas viridiflava"
"466","ASV590","gi|1785000536|gb|MN841897.1|","Gilliamella sp. strain B8843-T3 16S ribosomal RNA gene, partial sequence",2.47e-115,429,97.233,100,100,"1891236","Bacteria","Pseudomonadota","Gammaproteobacteria","Orbales","Orbaceae","Gilliamella","Gilliamella sp."
"467","ASV591","gi|1800206357|gb|MN982743.1|","Methylorubrum sp. strain Isolate_HYV2 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"2282524","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylorubrum","Methylorubrum sp."
"468","ASV592","gi|1799626691|gb|MN189968.1|","Pouzolzia sanguinea var. elegans chloroplast, complete genome",1.95e-96,366,92.885,100,100,"1399738","Eukaryota","Streptophyta","Magnoliopsida","Rosales","Urticaceae","Pouzolzia","Pouzolzia sanguinea"
"469","ASV593","gi|1861039676|dbj|LC546503.1|","Amnibacterium sp. BR-230 gene for 16S ribosomal RNA, partial sequence",5.23e-127,468,100,100,100,"1872496","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Amnibacterium","Amnibacterium sp."
"470","ASV594","gi|1678062571|dbj|LC466937.1|","Uncultured Methylobacterium sp. gene for 16S ribosomal RNA, partial sequence, clone: AGA24",2.43e-125,462,99.605,100,100,"157278","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylobacterium","uncultured Methylobacterium sp."
"471","ASV595","gi|1605039461|gb|MK726527.1|","Uncultured bacterium clone OTU_161 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"472","ASV597","gi|2637031041|gb|OR984977.1|","Azospirillum doebereinerae strain 23ND38W51 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"92933","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Azospirillum","Azospirillum doebereinerae"
"473","ASV598","gi|385719735|gb|JQ238639.1|","Phoma foliaceiphila strain CBS 129141 12S small subunit ribosomal RNA gene, partial sequence; mitochondrial",1.73e-133,490,90.642,100,100,"1167677","Eukaryota","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Didymocyrtis","Didymocyrtis foliaceiphila"
"474","ASV599","gi|1782951743|dbj|AB832926.1|","Devosia sp. Ri2Pt_4059 gene for 16S rRNA, partial sequence",5.23e-127,468,100,100,100,"1360469","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia","Devosia sp. Ri2Pt_4059"
"475","ASV6","gi|2062381872|gb|MZ490474.1|","Wolbachia pipientis isolate Wp_M3 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"955","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia","Wolbachia pipientis"
"476","ASV60","gi|1853410410|gb|MT605300.1|","Stenotrophomonas maltophilia strain JM11 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"40324","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas","Stenotrophomonas maltophilia"
"477","ASV601","gi|298397700|gb|HM112394.1|","Uncultured Acetobacteraceae bacterium clone SHOB703 16S ribosomal RNA gene, partial sequence",6.91e-111,414,96.774,98,98,"169975","Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",NA,"uncultured Acetobacteraceae bacterium"
"478","ASV602","gi|1189449557|gb|MF048251.1|","Uncultured bacterium clone A1669 16S ribosomal RNA gene, partial sequence",5.26e-122,451,98.814,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"479","ASV603","gi|373403629|gb|JQ047023.1|","Uncultured bacterium clone DC09x_E5C 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"480","ASV604","gi|44491620|gb|AY528762.1|","Uncultured Pseudomonas sp. clone BNL19 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"114707","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","uncultured Pseudomonas sp."
"481","ASV605","gi|1189447911|gb|MF046605.1|","Uncultured bacterium clone A23 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"482","ASV606","gi|1861039721|dbj|LC546548.1|","Sphingomonas sp. LE-162 gene for 16S ribosomal RNA, partial sequence",2.43e-125,462,99.605,100,100,"28214","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp."
"483","ASV607","gi|322161669|gb|JF176264.1|","Uncultured bacterium clone ncd2042b05c1 16S ribosomal RNA gene, partial sequence",6.79e-126,464,99.606,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"484","ASV608","gi|1782950999|dbj|AB832182.1|","Sphingomonas sp. Ri1Pt_3808 gene for 16S rRNA, partial sequence",1.13e-123,457,99.209,100,100,"1359623","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. Ri1Pt_3808"
"485","ASV609","gi|1811393300|gb|MT094262.1|","Brenneria goodwinii strain A2L1M2 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1109412","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Brenneria","Brenneria goodwinii"
"486","ASV610","gi|1828185285|dbj|LC376007.1|","Robbsia andropogonis G6 gene for 16S ribosomal RNA, partial sequence",5.23e-127,468,100,100,100,"28092","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Robbsia","Robbsia andropogonis"
"487","ASV611","gi|1827965253|gb|MT278151.1|","Sphingomonas sp. strain 2R38 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"28214","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp."
"488","ASV612","gi|1732624214|gb|CP036523.1|","Peptacetobacter hiranonis strain DSM 13275 chromosome, complete genome",1.87e-126,466,100,100,100,"89152","Bacteria","Bacillota","Clostridia","Peptostreptococcales","Peptostreptococcaceae","Peptacetobacter","Peptacetobacter hiranonis"
"489","ASV613","gi|1850831779|gb|MT576570.1|","Stenotrophomonas sp. strain B4 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"69392","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas","Stenotrophomonas sp."
"490","ASV614","gi|1149238562|gb|KU412927.1|","Uncultured bacterium clone dongzytff30147 16S ribosomal RNA gene, partial sequence",1.13e-123,457,99.209,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"491","ASV615","gi|1853542135|gb|MT605461.1|","Novosphingobium lindaniclasticum strain T1G-2 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"1329895","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Novosphingobium lindaniclasticum"
"492","ASV617","gi|322221129|gb|JF235724.1|","Uncultured bacterium clone ncd2727e08c1 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"493","ASV618","gi|1848976540|gb|MT570021.1|","Uncultured Flavobacterium sp. clone FT04 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"165435","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","uncultured Flavobacterium sp."
"494","ASV619","gi|662164172|gb|KJ662386.1|","Uncultured bacterium clone 2573 16S ribosomal RNA gene, partial sequence",5.26e-122,451,98.814,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"495","ASV620","gi|1109169454|gb|KY251945.1|","Uncultured bacterium clone js1150 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"496","ASV621","gi|1771866413|emb|LR641291.1|","uncultured bacterium partial 16S rRNA gene",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"497","ASV622","gi|1443248816|gb|MH725273.1|","Pseudonocardia sp. strain KRD-291 16S ribosomal RNA gene, partial sequence",6.79e-126,464,99.606,100,100,"60912","Bacteria","Actinomycetota","Actinomycetes","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","Pseudonocardia sp."
"498","ASV623","gi|2795022352|gb|PQ251047.1|","Uncultured bacterium clone OTU1374 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"499","ASV624","gi|219878379|ref|NR_025518.1|","Anaerobiospirillum thomasii strain DSM 11806 16S ribosomal RNA, partial sequence",2.55e-90,346,91.373,100,100,"179995","Bacteria","Pseudomonadota","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Anaerobiospirillum","Anaerobiospirillum thomasii"
"500","ASV625","gi|1386811635|gb|MH291619.1|","Uncultured bacterium clone 16S(V3-V4)-219 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"501","ASV626","gi|1859356914|gb|CP046048.1|","Proteus mirabilis strain HN2p chromosome HN2p, complete sequence",6.81e-121,448,98.814,100,100,"584","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Proteus","Proteus mirabilis"
"502","ASV627","gi|1770819648|gb|MN628533.1|","Uncultured bacterium clone SymL15 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"503","ASV628","gi|1862191015|dbj|AP023034.1|","Staphylococcus aureus TPS3156 DNA, complete genome",2.43e-125,462,99.605,100,100,"1280","Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus"
"504","ASV63","gi|1386549405|gb|MF326475.1|","Neoasaia sp. strain 139S 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"2175243","Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Neoasaia","Neoasaia sp."
"505","ASV630","gi|1475721480|gb|MH880014.1|","Uncultured bacterium clone ASV150 16S ribosomal RNA gene, partial sequence",1.46e-122,453,99.203,99,99,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"506","ASV631","gi|1756501937|gb|MN537545.1|","Segatella copri strain DSM 108494 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"165179","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri"
"507","ASV632","gi|2795020234|gb|PQ250152.1|","Uncultured Novosphingobium sp. clone OTU275 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"292277","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","uncultured Novosphingobium sp."
"508","ASV633","gi|1812247790|gb|MT106882.1|","Roseateles depolymerans strain JZY3-28 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"76731","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sphaerotilaceae","Roseateles","Roseateles depolymerans"
"509","ASV634","gi|1801968318|gb|MN989038.1|","Aureimonas sp. strain C2P036 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1872658","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Aurantimonadaceae","Aureimonas","Aureimonas sp."
"510","ASV637","gi|1812591997|gb|MT110901.1|","Uncultured bacterium clone TSCW_OTU_231 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"511","ASV638","gi|1435878051|gb|MH698809.1|","Ideonella sp. strain TM-S49 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1929293","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sphaerotilaceae","Ideonella","Ideonella sp."
"512","ASV639","gi|1782699723|gb|MN809372.1|","Leuconostoc pseudomesenteroides strain G29 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"33968","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Leuconostoc","Leuconostoc pseudomesenteroides"
"513","ASV640","gi|1847518596|gb|MT545115.1|","Lactococcus laudensis strain 4626 16S ribosomal RNA gene, partial sequence",1.87e-126,466,100,100,100,"1494461","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus laudensis"
"514","ASV641","gi|1825970236|gb|MT255158.1|","Acidovorax sp. strain C9-1 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1872122","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax sp."
"515","ASV642","gi|1060741859|gb|KU506373.1|","Uncultured bacterium clone 1159 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"516","ASV643","gi|1832703684|gb|MK371016.1|","Sonchus asper isolate MAR-1 chloroplast, complete genome",1.5e-102,387,94.444,99,99,"50193","Eukaryota","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Sonchus","Sonchus asper"
"517","ASV644","gi|943847422|gb|KT015697.1|","Uncultured prokaryote clone OTU_2465 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"198431",NA,NA,NA,NA,NA,NA,"uncultured prokaryote"
"518","ASV645","gi|1100249939|gb|KU969142.1|","Uncultured bacterium clone 3013 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"519","ASV646","gi|1858806447|gb|MT631989.1|","Pseudomonas poae strain XJX-5 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"200451","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas poae"
"520","ASV648","gi|1173240433|gb|KY880560.1|","Uncultured bacterium clone denovo8763 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"521","ASV649","gi|1589400319|gb|MK615135.1|","Lachnoclostridium sp. strain ASD4382 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"2028282","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium","Lachnoclostridium sp."
"522","ASV650","gi|1257054523|gb|MG198688.1|","Enterobacter asburiae strain TO5 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"61645","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter asburiae"
"523","ASV651","gi|1685832022|gb|MN072748.1|","Uncultured Devosia sp. clone OTU34 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"211434","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia","uncultured Devosia sp."
"524","ASV652","gi|2812968106|gb|PQ306624.1|","Danxiaorchis yangii mitochondrion, complete genome",1.16e-108,407,95.652,100,100,"2137638","Eukaryota","Streptophyta","Magnoliopsida","Asparagales","Orchidaceae","Danxiaorchis","Danxiaorchis yangii"
"525","ASV653","gi|395472744|gb|JX286447.1|","Uncultured bacterium clone SW-JSD_E08_1813 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"526","ASV655","gi|1314946142|gb|MF406545.1|","Uncultured bacterium clone OTU_341 16S ribosomal RNA gene, partial sequence",5.26e-122,451,98.814,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"527","ASV656","gi|1357840304|gb|MH041111.1|","Uncultured bacterium clone HL15-27 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"528","ASV657","gi|1858710525|gb|CP054795.1|","Mycolicibacterium smegmatis strain FDAARGOS_679 chromosome",5.23e-127,468,100,100,100,"1772","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycolicibacterium","Mycolicibacterium smegmatis"
"529","ASV658","gi|1851781587|gb|MT586008.1|","Flavobacterium sp. strain 2750 16S ribosomal RNA gene, partial sequence",1.13e-123,457,99.209,100,100,"239","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium sp."
"530","ASV659","gi|562815643|gb|KF639907.1|","Stentor sp. small subunit ribosomal RNA gene, partial sequence",2.15e-81,316,89.6,93,93,"1431124","Eukaryota","Ciliophora","Heterotrichea","Heterotrichida","Stentoridae","Stentor","Stentor sp."
"531","ASV66","gi|298397700|gb|HM112394.1|","Uncultured Acetobacteraceae bacterium clone SHOB703 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"169975","Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",NA,"uncultured Acetobacteraceae bacterium"
"532","ASV661","gi|1843422654|gb|MT482606.1|","Neisseria sp. strain KCOM 3318 (=ChDC P005-Pg2) 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"192066","Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria sp."
"533","ASV662","gi|1189449451|gb|MF048145.1|","Uncultured bacterium clone A1563 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"534","ASV663","gi|1002699997|gb|KU119675.1|","Uncultured bacterium clone 23810 16S ribosomal RNA gene, partial sequence",2.48e-110,412,96.047,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"535","ASV664","gi|1002702333|gb|KU122011.1|","Uncultured bacterium clone 26363 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"536","ASV665","gi|2177203262|gb|OM238476.1|","Uncultured bacterium clone 179 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"537","ASV666","gi|1080112542|gb|KU886633.1|","Uncultured bacterium clone DMA-B02-89 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
